issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,6,selfbelonging,...crooge's character reflect the theme of **selfbelonging** in *A Christmas Carol*.  Or  ### 2. Are...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The term 'self-belonging' is established as a specific theme within the document, and hyphenation issues are to be ignored as per instructions."
1,6,outside of,...ch and planning work related to the NEA **outside of** the centre.  {7}-----------------------...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Outside of' is a grammatically acceptable prepositional phrase in British English, making this a stylistic choice rather than an error."
2,9,audio-visual,...aid down by WJEC.  Centres must make an **audio-visual** recording of all presentations.  Learne...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
3,11,and,...n affects people in 21st Century Britain** and** what can we do to combat this?  ### *Pe...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,85,"The absence of a comma before 'and' in this compound interrogative sentence does not create ambiguity, making it a stylistic choice."
4,11,outside of,...ch and planning work related to the NEA **outside of** the centre.  ### Resources  During the ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Outside of' is a grammatically acceptable prepositional phrase in British English, making this a stylistic choice rather than an error."
5,13,audio-visual,"...on, the teacher should:<br>•<br>make an **audio-visual** recording of the<br>presentation<br>•<b...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,"'Audio-visual' is correctly hyphenated as a compound adjective, and the '<br>' tag is a formatting artifact."
6,13,coversheet,...warded should be completed on each unit **coversheet**.  The assessment of Task A (essay) must...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"'Coversheet' as a single word is an accepted spelling, particularly in administrative contexts."
7,14,audio-visual,... of the response or by listening to the **audio-visual** recording at a later time. Teachers sho...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Audio-visual' is correctly hyphenated as a compound adjective.
8,16,responseoffer,...soned judgements or considered personal **responseoffer** a sustained and convincing selection of...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'response' and 'offer' have been merged due to a PDF-to-text conversion artifact.
9,16,interpretationsoffer,...nstrate how they illustrate and support **interpretationsoffer** well-reasoned explanations of how a com...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'interpretations' and 'offer' have been merged due to a PDF-to-text conversion artifact.
10,29,YY,...      |  | DD    | MM                 | **YY**           |       | Hour  |  | Minutes ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'YY' is a standard and correct abbreviation for 'Year' in the context of a date format (DD/MM/YY) within a table header.
