issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,3,made-for-wales-gcses,...form/reforming/qualified-for-the-future/**made-for-wales-gcses**/#approval-criteria\)](https://qualifica...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,This text is part of a URL slug and is correctly formatted for that context.
1,3,CymraegGCSE,...---| | Level 2 Award in Additional Core **CymraegGCSE** Art and DesignGCSE BusinessGCSE Compute...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Cymraeg' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
2,3,DesignGCSE,... in Additional Core CymraegGCSE Art and **DesignGCSE** BusinessGCSE Computer ScienceGCSE Core ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Design' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
3,3,BusinessGCSE,...nal Core CymraegGCSE Art and DesignGCSE **BusinessGCSE** Computer ScienceGCSE Core CymraegGCSE D...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Business' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
4,3,ScienceGCSE,"...rt and DesignGCSE BusinessGCSE Computer **ScienceGCSE** Core CymraegGCSE DramaGCSE French, Germ...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Science' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
5,3,CymraegGCSE,"... BusinessGCSE Computer ScienceGCSE Core **CymraegGCSE** DramaGCSE French, German and SpanishGCS...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Cymraeg' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
6,3,DramaGCSE,"...E Computer ScienceGCSE Core CymraegGCSE **DramaGCSE** French, German and SpanishGCSE Geograph...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Drama' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
7,3,SpanishGCSE,"...ymraegGCSE DramaGCSE French, German and **SpanishGCSE** Geography | GCSE Cymraeg Language and L...",PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Spanish' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
8,3,NutritionGCSE,...rature (Single and Double)GCSE Food and **NutritionGCSE** HistoryGCSE Mathematics and NumeracyGCS...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'Nutrition' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
9,3,HistoryGCSE,... and Double)GCSE Food and NutritionGCSE **HistoryGCSE** Mathematics and NumeracyGCSE MusicGCSE ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The words 'History' and 'GCSE' have been incorrectly merged during PDF-to-text conversion and should be separated by a space.
10,3,NumeracyGCSE,...tritionGCSE HistoryGCSE Mathematics and **NumeracyGCSE** MusicGCSE Religious StudiesGCSE The Sci...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'NumeracyGCSE' is a parsing error where 'Numeracy' and 'GCSE' have been merged without a space during PDF conversion.
11,3,MusicGCSE,...istoryGCSE Mathematics and NumeracyGCSE **MusicGCSE** Religious StudiesGCSE The Sciences (Dou...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'MusicGCSE' is a parsing error where 'Music' and 'GCSE' have been merged without a space during PDF conversion.
12,3,StudiesGCSE,...cs and NumeracyGCSE MusicGCSE Religious **StudiesGCSE** The Sciences (Double) |  The consultati...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The word 'StudiesGCSE' is a parsing error where 'Studies' and 'GCSE' have been merged without a space during PDF conversion.
13,6,and,...greater detail with Qualifications Wales** and** we will also be discussing the issue wi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'and' is correctly used as a conjunction and is not repeated in the sentence.
14,7,all of the,...ications will provide stakeholders with **all of the** information they require in due course....,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'all of the' is grammatically correct and does not hinder comprehension or tone.
15,10,and,...hat the content is teachable in the time** and** we will strengthen our focus on reviewi...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'and' is correctly used as a conjunction and is not repeated in the sentence.
16,11,and,... balance of physical and human geography** and** we have updated the possible areas to b...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'and' is correctly used as a conjunction and is not repeated in the sentence.
17,11,that that,...ts generally agreed or partially agreed **that that** the proposed assessment approach is app...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The repetition of 'that that' is a grammatical error; one instance of 'that' should be removed.
18,13,and,...sed concern that the weighting was heavy** and** it would impact on teacher workload. We...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The word 'and' is correctly used as a conjunction and is not repeated in the sentence.
19,14,whether or not,...dual learners or groups of learners and **whether or not** the teacher performs the control elemen...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The phrase 'whether or not' is grammatically correct and does not hinder comprehension or tone.
20,16,and,...r for this unit is aware of the concerns** and** we will aim to include writing that rep...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The absence of a comma before 'and' connecting two independent clauses is a valid stylistic choice and does not hinder clarity.
21,18,time consuming,...ondents conveying that oracy tasks were **time consuming** and difficult to administer. As a direc...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"When used as a predicate adjective, 'time consuming' is correctly written as two words without a hyphen."
22,18,with regards to,...t is clearly on 'Continuity and change' **with regards to** both language and ideas. There will now...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,75,"While 'with regards to' is increasingly common, 'with regard to' is generally preferred in formal British English for documents of this nature."
23,19,and,... are supported by this new qualification** and** we will work to ensure that this is the...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,The absence of a comma before 'and' connecting two independent clauses is a valid stylistic choice and does not hinder clarity.
