issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,Exam Results Analysis,"- free online resources
- **Exam Results Analysis**
- Online Examination Review.",ErrorCategory.CONSISTENCY_ERROR,85,The term 'Exam Results Analysis' is inconsistent with 'Online Examination Review' in the same list; 'Examination Results Analysis' would maintain consistency.
1,8,life cycle,1.8 Systems development **life cycle**,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'systems development lifecycle' is used as a single word on page 7, but as two words ('life cycle') on page 8, which is inconsistent. 'Lifecycle' is generally preferred as a single word in technical contexts (OED)."
2,9,example;,"For **example;** temperature sensors, motion sensors and light sensors.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A colon should be used after 'For example' when introducing a list, not a semicolon."
3,9,Output devices,"- these devices present data from the computer **Output devices** to the user. For example, monitor, speakers and printer.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Output devices' is redundantly repeated within its own definition.
4,10,Graphic cards,"- **Graphic cards** responsible for rendering images, videos and animations on the monitor.",ErrorCategory.CONSISTENCY_ERROR,90,"Inconsistent terminology; 'graphics cards' (plural) is used elsewhere in the document, but 'Graphic cards' (singular) is used here. The standard term is 'graphics card'."
5,10,responsible,"- Graphic cards **responsible** for rendering images, videos and animations on the monitor.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"A verb (e.g., 'are') is missing to complete the sentence structure, making it inconsistent with other definitions that include a verb."
6,10,uses,- Wireless NICs **uses** Wi-Fi technology to connect to a network without the need for wires.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Subject-verb agreement error: 'NICs' is plural, so the verb should be 'use', not 'uses'."
7,10,responsible,"- Graphics Processing Unit (GPU) - **responsible** for rendering images, videos and animations.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"A verb (e.g., 'is') is missing to complete the sentence structure, making it inconsistent with other definitions that include a verb."
8,10,Integrated is,- **Integrated is** built into the processor chip and shares the memory with the CPU.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The subject 'Integrated' is incomplete; it should be 'Integrated GPU' or similar to form a grammatically correct sentence.
9,10,Dedicated has,"- **Dedicated has** its own memory, known as VRAM, and doesn't share it with the CPU.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The subject 'Dedicated' is incomplete; it should be 'Dedicated GPU' or similar to form a grammatically correct sentence.
10,11,"like,","- Universal Serial Bus (USB) - used to connect external devices **like,** keyboards, mice, headsets and storage devices.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not be used after 'like' when it introduces a list of examples.
11,11,letter s,"USB connectors are assigned **letter s** to indicate their type, Type -A, Type -B, Type -C.",ErrorCategory.SPELLING_ERROR,95,"'letters' should be plural to refer to multiple types (A, B, C)."
12,11,"Currently ,","Currently **,** there are 4: USB 1.x, USB 2.0, USB 3.x, and USB 4.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The comma after the introductory adverb 'Currently' is unnecessary.
13,11,high -definition,"Display ports - connect monitors or display devices to the system, providing **high -definition** video outputs.",ErrorCategory.STYLISTIC_PREFERENCE,85,'High-definition' is a compound adjective and should be hyphenated when preceding the noun it modifies for clarity.
14,11,"VGA ,","The main display ports are **VGA ,** DVI, HDMI and DisplayPort .",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,A comma should not be used after the first item in a list introduced by 'are'.
15,11,High -definition,HDMI: **High -definition** multimedia interface for video and audio.,ErrorCategory.STYLISTIC_PREFERENCE,85,'High-definition' is a compound adjective and should be hyphenated for consistency and clarity.
16,13,fetch -decode -execute cycle,The following registers are key to the **fetch -decode -execute cycle** :,ErrorCategory.STYLISTIC_PREFERENCE,85,Compound adjectives or proper nouns like 'fetch-decode-execute' should be hyphenated without spaces for clarity and standard British English usage.
17,13,in alongside,It works **in alongside** the MAR. The MDR holds the actual data being transferred to or from the address specified by the MAR.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The preposition 'in' is superfluous; 'alongside' functions correctly on its own.
18,14,as bridge,Larger than level 1 but slower. It ser ves **as bridge** between level 1 and level 3 or main memory (RAM) .,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A definite or indefinite article (e.g., 'a') is required before 'bridge' to form the correct phrase 'as a bridge'."
19,14,RAM) .,"It ser ves as bridge between level 1 and level 3 or main memory (**RAM) .** It can either be located inside the CPU or outside, depending on the architecture of the motherboard.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The full stop should be placed immediately after the closing parenthesis if it concludes the main sentence.
20,14,"cores, this cache","It is shared among **cores, this cache** is larger and slower than L1 and L2 caches, but faster than RAM.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This is a comma splice, joining two independent clauses with only a comma. A semicolon or a conjunction is needed."
21,14,Fetch -Decode - Execute cycle,The main operations which occur during each phase of the **Fetch -Decode - Execute cycle** are:,ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'Fetch -Decode - Execute cycle' is inconsistent with previous mentions of 'fetch -decode -execute cycle' in the document. For a named process, consistent capitalisation is preferred."
22,14,which occur,The main operations **which occur** during each phase of the Fetch -Decode - Execute cycle are:,ErrorCategory.STYLISTIC_PREFERENCE,80,"The clause 'which occur during each phase' is restrictive, meaning it is essential to the meaning of 'main operations'. Therefore, 'that' is generally preferred over 'which' in British English for restrictive clauses."
23,14,cache .,Store the fetched instruction in the **cache .**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Punctuation should be placed immediately after the word, not separated by a space."
24,14,MDR .,"If the data is not in the cache, fetch it from main memory into the **MDR .**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Punctuation should be placed immediately after the word, not separated by a space."
25,15,is the frequency,"- : • Clock speed : **is the frequency** with which the CPU can execute instructions , one clock tick per second would be measured as 1 Hz .",ErrorCategory.STYLISTIC_PREFERENCE,85,"In a definition format, the verb 'is' is typically omitted after the colon for conciseness and clarity."
26,15,",","Clock speed : is the frequency with which the CPU can execute instructions **,** one clock tick per second would be measured as 1 Hz .",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The comma incorrectly joins two independent clauses, creating a comma splice. A semicolon or full stop would be more appropriate."
27,15,is how the processor,- Threading : **is how the processor** handles and executes multiple sequences of instructions (called **threads**) simultaneously.,ErrorCategory.STYLISTIC_PREFERENCE,85,"In a definition format, the verb 'is' is typically omitted after the colon for conciseness and clarity."
28,18,E -waste,- **E -waste**: The growing volume of electronic waste due to the short lifecycle of devices and the need for better recycling systems to prevent environmental issues.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The space after the hyphen in 'E -waste' incorrectly separates the compound term; it should be 'E-waste'.
29,18,mid -20th century,"- **Early Transistors:** Replaced vacuum tubes in the **mid -20th century**, making computers smaller, faster, and more reliable.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The space after the hyphen in 'mid -20th century' incorrectly separates the compound term; it should be 'mid-20th century'.
30,18,Multi -core,"- **Modern Multi -core CPUs:** Modern processors have multiple cores, each capable of handling tasks simultaneously, improving efficiency and performance.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The space after the hyphen in 'Multi -core' incorrectly separates the compound term; it should be 'Multi-core'.
31,18,time .,Understand how the advancements in materials and manufacturing have influenced the design and efficiency of components over **time .**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,There is an unnecessary space before the full stop.
32,18,", increases","Making these components smaller **, increases** processing power in addition to lowering costs and energy consumption.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma before 'increases' is grammatically incorrect as 'Making these components smaller' functions as the subject phrase.
33,18,nano transistors,"Nanotechnology involves manipulating materials at an atomic level to create **nano transistors**, enabling smaller, faster, and more efficient processors.",ErrorCategory.SPELLING_ERROR,95,"The term 'nanotransistors' is typically written as a single word in British English (OED, Collins)."
34,18,more packed and denser therefore increasing,This makes the transistors **more packed and denser therefore increasing** speed and energy efficiency.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The phrasing 'more packed and denser' is grammatically awkward; it should be 'more densely packed' or 'denser'. Additionally, 'therefore increasing' should be 'thereby increasing' or 'therefore, increasing' for correct conjunction and flow."
35,19,Input Devices,Definition: Input devices are hardware components **Input Devices** that allow users to enter data and control signals into a computer system.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Input Devices' is redundantly repeated within the definition.
36,19,Mouse:,A pointing device that allows users to interact with **Mouse:** graphical elements on the screen.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Mouse:' is redundantly repeated within the definition.
37,19,Scanner:,Converts physical documents and images into digital **Scanner:** format.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Scanner:' is redundantly repeated within the definition.
38,19,Microphone:,Captures audio input useful for voice command **Microphone:** and audio recording.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Microphone:' is redundantly repeated within the definition.
39,19,Touchscreen:,Allows users to interact with a device by touching **Touchscreen:** the screen.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Touchscreen:' is redundantly repeated within the definition.
40,20,Output Devices Output devices,"Sensors: temperature, accelerometer and pressure. **Output Devices Output devices** are hardware components that send information from a computer to the user.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The heading 'Output Devices' is redundantly repeated before its definition.
41,20,Monitor:,Displays visual output from the computer. **Monitor:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Monitor:' is redundantly repeated after its definition.
42,20,Printer:,Produces physical copies of digital documents. **Printer:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Printer:' is redundantly repeated after its definition.
43,20,Speakers:,Output sound from the computer. **Speakers:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Speakers:' is redundantly repeated after its definition.
44,20,Headphones:,Personal audio output device for outputting sound. **Headphones:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Headphones:' is redundantly repeated after its definition.
45,20,Projector:,Projects computer visuals onto a larger surface. **Projector:**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The term 'Projector:' is redundantly repeated after its definition.
46,20,Primary Storage Definition:,"Primary storage, also known as main **Primary Storage Definition:** memory, is where data is temporarily stored for quick access by the computer's processor.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The heading 'Primary Storage Definition:' is redundantly repeated within the definition of primary storage.
47,21,overused,"The operating system breaks down the data into small chunks and manages which pages are in RAM and which are in virtual memory.
Thrashing occurs when a computer's virtual memory system **overused**, causing a significant slowdown in performance.
This happens when the system spends more time swapping pages between the RAM and the hard drive than executing actual instructions.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The verb 'overused' is in the past participle form and requires an auxiliary verb (e.g., 'is') to form a passive voice construction, 'is overused', or an active verb like 'becomes overused'."
48,24,SDs,"Reliability : **SDs** are highly reliable for storing data, as they don't suffer from mechanical failure like HDDs.",ErrorCategory.SPELLING_ERROR,95,"The abbreviation 'SDs' is incorrect in this context; it should be 'SSDs' for Solid State Drives, consistent with the preceding text."
49,25,access of data,Highly durable due to the responsibility of the cloud company to ensure the **access of data**. This is done through data backup systems.,ErrorCategory.STYLISTIC_PREFERENCE,75,The phrasing 'access of data' is awkward; 'access to data' or 'data access' would be more natural and professional.
50,25,"servers, therefore even","Cloud data is distributed across multiple **servers, therefore even** if one server fails, users can still access their data from another.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma splice occurs here; 'therefore' is a conjunctive adverb and should be preceded by a semicolon or a full stop when joining two independent clauses.
51,26,"between, denary","convert **between, denary**, binary and hexadecimal counting systems",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma after 'between' is superfluous and grammatically incorrect in this phrase.
52,26,reached Then,Repeat this process until 0 is **reached Then** reverse the order of the remainders.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,This is a run-on sentence; a full stop or semicolon is needed between 'reached' and 'Then' to separate two independent clauses.
53,27,2position,Multiply each bit by **2position**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase is missing 'to the power of' to correctly express the mathematical operation.
54,27,9,$$0 \times 2^{3} = 0 \times **9** = 0$$,ErrorCategory.FACTUAL_INACCURACY,100,"The value of 2 to the power of 3 is 8, not 9, making the calculation incorrect."
55,28,16position,Multiply each hexadecimal value by **16position**,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase is missing 'to the power of' to correctly express the mathematical operation.
56,28,÷,$$ (B = 11) $$ $$ 11 **÷** 16^{0} = 11 \times 1 = 11 $$,ErrorCategory.FACTUAL_INACCURACY,100,The division operator (÷) is incorrect; it should be a multiplication operator (×) in this calculation.
57,29,"such as,","Vectors can be edited easily and are used for graphical designs **such as,** logos and icons.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not follow 'such as' when introducing a list of examples.
