issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,multi-step,"...s to solve nonstandard or unstructured, **multi-step** problems fluently</li><li>make decision...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The compound adjective 'multi-step' is correctly hyphenated in the provided text.
1,9,and,...pected to demonstrate in their responses** and** they are then used in marking the work....,PassCode.LTC,ErrorCategory.POSSIBLE_AMBIGUOUS_GRAMMATICAL_ERROR,85,A comma should precede 'and' when it connects two independent clauses to improve clarity in formal writing.
2,9,Jacob's,...st in pence = 15 × number of miles + 50 **Jacob's** grandmother lives 40 miles away from th...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,'Jacob's' is correctly used as a possessive noun.
3,10,"a,","...a), y = f(kx), y = kf(x) and y = f(x) + **a,** applied to y = f(x) - constructing usin...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The comma is correctly used to separate the introductory participial phrase 'applied to y = f(x)' from the preceding list.
4,13,nber,...      |          |  |  |  | | 1.2 Nun | **nber** properties including prime fac         ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The word 'Number' has been incorrectly split across table cells due to a parsing error.
5,13,$n$,...ove number properties.  For example:  • **$n$** represents a whole number. Is $2n + 3$ ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The character '$n$' represents a mathematical variable and is correctly formatted.
6,13,$n$,"...is an even number.  • For all integers, **$n$** , is $5n - 3$ odd, even, or sometimes o...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The character '$n$' represents a mathematical variable and is correctly formatted.
7,13,$n$,"...) - (2n + 7)$ is even for all integers, **$n$** . (Higher tier only.) | <b>√</b> | <b>√...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The character '$n$' represents a mathematical variable and is correctly formatted.
8,14,frac,...1$</li><li>$2^{-3}$ can be written as $\**frac**{1}{2^3}$ .</li></ul> | ✓ | ✓ | ✓ | | 1....,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The LaTeX command '\frac' has been incorrectly parsed, appearing as 'frac'."
9,14,frac,... fractional indices | For example: $9^{\**frac**{1}{2}} = 3$ $64^{\frac{2}{3}} = 16$ $81...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The LaTeX command '\frac' has been incorrectly parsed, appearing as 'frac'."
10,14,frac,...or example: $9^{\frac{1}{2}} = 3$ $64^{\**frac**{2}{3}} = 16$ $81^{-\frac{1}{2}} = \frac...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{2}{3}` and is not an error.
11,14,frac,...2}} = 3$ $64^{\frac{2}{3}} = 16$ $81^{-\**frac**{1}{2}} = \frac{1}{9}$ $\left(\frac{25}{...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,`frac` is part of a correct LaTeX mathematical expression `\frac{1}{2}` and is not an error.
