issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,3,e-mail,"there is no access to **e-mail**, the internet or mobile phones",ErrorCategory.STYLISTIC_PREFERENCE,85,"The modern and more common spelling in British English is 'email', without the hyphen."
1,3,.,"interaction with other candidates does not occur
- no assistance of any description is provided.
- candidates' work must remain within the centre at all times and must be stored securely between timetabled sessions**.**",ErrorCategory.CONSISTENCY_ERROR,90,"Punctuation at the end of bullet points should be consistent; either all bullet points end with a full stop or none do, especially when they are not complete sentences."
2,4,"and,","though teachers may support a candidate to ensure that their chosen intention is appropriate in terms of themes, practicality, access to resources **and,** health and safety.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma should not precede 'and' when it joins the last two items in a simple list.
3,5,authentic;,"evidence presented for assessment is valid, **authentic;** reliable and credible",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is incorrectly used to separate items in a simple list of adjectives; commas should be used instead.
4,5,refer the,You should **refer the** JCQ Instructions for conducting non-examination assessment for further information on managing assessment within our GCSE Qualifications.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The verb 'refer' in this context requires the preposition 'to' (i.e., 'refer to the JCQ Instructions')."
5,6,via in a,The ESA will be released to centres **via in a** digital format on Portal on December 1 in the final year of study. This will give teachers/assessors the opportunity to plan and prepare only.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase 'via in a' is redundant; it should be either 'via a digital format' or 'in a digital format'.
6,6,plan and prepare only,The ESA will be released to centres via in a digital format on Portal on December 1 in the final year of study. This will give teachers/assessors the opportunity to **plan and prepare only**.,ErrorCategory.AMBIGUOUS_PHRASING,80,The placement of 'only' makes the sentence slightly awkward and could be clearer; it should ideally precede 'plan and prepare' or be placed at the end with a comma.
7,6,"and, health and safety","...access to resources **and, health and safety**. It is important that the learner selects their work carefully at the end of the preparatory period, which should then be stored securely, as this is the only work they can use to support Part 2.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The comma before 'and' is incorrect when 'health and safety' is treated as a single item in the list; it should be 'and health and safety' or 'access to resources, and health and safety' if an Oxford comma is intended."
8,7,Form the learner,Using the *Candidate Declaration **Form the learner** should declare that their work was completed independently and without any assistance beyond what should be permitted. They should clearly reference any sources and any Artificial Intelligence tools used in the work.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is missing after the introductory participial phrase 'Using the Candidate Declaration Form'.
9,8,"and, health and safety","Not permitted – teachers cannot tell learners what intention to pursue, though teachers may support a candidate to ensure that their chosen intention is appropriate in terms of themes, practicality, access to resources **and, health and safety**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The comma before 'and' is incorrect when 'health and safety' is treated as a single item in the list; it should be 'and health and safety' or 'access to resources, and health and safety' if an Oxford comma is intended."
10,9,however;,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however**; the use of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"When 'however' introduces an independent clause, it should be preceded by a semicolon and followed by a comma (e.g., '; however,')."
11,9,Assessors,"Beginning at the lowest band, **Assessors** should look at the candidate's response and check whether it matches the descriptors for that band.",ErrorCategory.CONSISTENCY_ERROR,85,"The term 'assessor' is inconsistently capitalised throughout the document; it should either always be capitalised or never, unless it's part of a proper noun or at the start of a sentence. Given its use as a common noun, lower case is generally preferred for consistency."
12,10,is appropriate,Assessors are reminded of the need to revisit the standardising material as they apply the mark scheme in order to confirm that the band and the mark allocated **is appropriate** to the work submitted.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"The compound subject 'the band and the mark' is plural, requiring the plural verb 'are' instead of 'is' for subject-verb agreement."
13,11,are that,"Effective use of media, materials, techniques and processes **are that** confidently controlled and exploited.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,The phrase 'are that' is grammatically incorrect and redundant; it should be 'processes that are confidently controlled'.
