issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,Material,A: Learners can use their preparatory work in both Unit 1 and Unit 2 to show supporting annotation within their work. The Sample Assessment **Material** for Unit 1 – Portfolio and Unit 2 – Externally Set Assignment clarifies this further.,ErrorCategory.CONSISTENCY_ERROR,95,"The term 'Sample Assessment Materials' is used consistently as plural later in the document (page 2), so this instance should also be plural for consistency."
1,1,Specification,"During Part 2, the sustained focus period, the teacher cannot provide any advice or feedback on learners' work - please refer to page 20 of the **Specification**. Further guidance for conducting NEA is provided by JCQ in the following document: [Instructions for conducting non-examination assessments](https://www.jcq.org.uk/wp-content/uploads/2023/08/Instructions_NEA_23-24_FINAL.pdf)",ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Specification' is capitalised here, but used in lowercase on page 2 ('specification (see page 20)'), indicating an inconsistency in capitalisation for a specific document title."
2,1,"course, this","A: Unit 1 can be started at any time during the **course, this** can be selected by the centre.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a comma splice, joining two independent clauses with only a comma. It should be separated by a semicolon, a full stop, or a coordinating conjunction."
3,1,own.,"Q: If a learner does not like the topic selected by the teacher for Unit 1, are they allowed to choose their **own.**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The sentence is a question and requires a question mark at the end, not a full stop."
4,1,awarding however,Q: The date of release of the Externally Set Assignment to learners remains the 2nd January in the year of **awarding however** teachers will now have access to the ESA in the December immediately prior to this. Can we ask learners to start work on this in December?,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a comma splice, joining two independent clauses with only a comma before a conjunctive adverb. It should be separated by a semicolon, a full stop, or a coordinating conjunction."
5,2,specification,A: It is a requirement of the **specification** (see page 20) and centres must provide the minimum of a 2-hour session to start.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'specification' is lowercase here, but capitalised on page 1 ('Specification'), indicating an inconsistency in capitalisation for a specific document title."
6,2,centre however,A: The 10 hours can be broken down in a way to suit the **centre however** the first two hours must be consecutive.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a comma splice, joining two independent clauses with only a comma before a conjunctive adverb. It should be separated by a semicolon, a full stop, or a coordinating conjunction."
7,2,Assessment Objective,A: There is no longer a separate 'checklist' associated with the Assessment Objectives. The **Assessment Objective** wording has been clarified in the marking criteria.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Assessment Objective' is capitalised here, but used in lowercase later in the same paragraph ('assessment objectives'), indicating an inconsistency in capitalisation."
8,2,Mark Scheme,Please see the **Mark Scheme** for Unit 1 and Unit 2 in the Sample Assessment Materials for the specific language to be used.,ErrorCategory.CONSISTENCY_ERROR,90,"The term 'Mark Scheme' is capitalised here, but 'marking criteria' is lowercase in the preceding sentence, indicating an inconsistency in capitalisation for related assessment terminology."
9,2,assessment however,A: It is not anticipated that all work should be submitted for **assessment however** it is important that learners show evidence that best meets all the assessment objectives.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"This is a comma splice, joining two independent clauses with only a comma before a conjunctive adverb. It should be separated by a semicolon, a full stop, or a coordinating conjunction."
