issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,6,centre,"This unit will be assessed through an externally set assignment and will be marked by the **centre** and moderated by WJEC. Assessments must be submitted digitally (they may be hand written and scanned, or completed digitally).",ErrorCategory.CONSISTENCY_ERROR,90,"The capitalisation of 'centre'/'Centre' is inconsistent across the document (e.g., 'Centres' on page 6, 'Centre' on page 7)."
1,7,which,The assessment will feature tasks based on two themes from the unit content **which** will be set by WJEC each year.,ErrorCategory.STYLISTIC_PREFERENCE,75,"'That' is generally preferred for restrictive clauses in formal British English, as the clause is essential to the meaning."
2,8,.,"Demonstrate knowledge and understanding of business terms, concepts, and theories**.""**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,There is an extraneous full stop at the end of the sentence.
3,9,Materials(SAMs),"Assessment Pack this contains the Sample Assessment **Materials(SAMs)** i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A space is missing between the word 'Materials' and its parenthetical abbreviation '(SAMs)'.
4,9,i.e.:,"Assessment Pack this contains the Sample Assessment Materials(SAMs) **i.e.:** sample exam papers and sample NEA tasks, relevant controls for the NEA and, mark schemes.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The abbreviation 'i.e.' should be followed by a comma, not a colon, in formal British English."
5,9,"and, mark schemes","Assessment Pack this contains the Sample Assessment Materials(SAMs) i.e.: sample exam papers and sample NEA tasks, relevant controls for the NEA **and, mark schemes**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A comma should not precede 'and' in a simple list of items unless it is an Oxford comma, which is not consistently used here."
6,9,said documents,This guide builds upon the information in the specification and assessment pack to help further your understanding of **said documents**.,ErrorCategory.STYLISTIC_PREFERENCE,70,The use of 'said' as an adjective is overly formal and can sound stilted; 'these documents' or 'the documents mentioned' would be more natural.
7,9,specification you will notice,"When you look through the **specification you will notice** in the amplification column, we use a variety of wording before the list of content learners need to know; we call this a stem:",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A comma is required after the introductory subordinate clause 'When you look through the specification'.
8,9,content learners need to know,"When you look through the specification you will notice in the amplification column, we use a variety of wording before the list of **content learners need to know**; we call this a stem:",ErrorCategory.STYLISTIC_PREFERENCE,75,"Adding 'that' (e.g., 'content that learners need to know') would improve clarity and flow in formal writing, though its omission is not strictly ungrammatical."
9,9,Guidance for Teaching documents,Teachers should refer to **Guidance for Teaching documents** for further guidance on the depth and breadth to which this content should be taught.,ErrorCategory.CONSISTENCY_ERROR,80,"If 'Guidance for Teaching' refers to a specific document or series title, 'Documents' should also be capitalised for consistency; otherwise, 'guidance for teaching documents' should be lowercased."
