issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,6,All Inclusive holidays,"| Popular holiday types                          | Time of year                      |  |  |
|------------------------------------------------|-----------------------------------|--|--|
| **All Inclusive holidays**                         | Last-minute holidays              |  |  |",ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'All-inclusive' requires hyphenation when preceding a noun in British English for clarity (e.g., 'All-inclusive holidays')."
1,6,Adults only holidays,"| Last-minute holidays              |  |  |
| **Adults only holidays**                           | School holidays                   |  |  |
| Luxury holidays                                | Spring holidays                   |  |  |",ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'Adults-only' requires hyphenation when preceding a noun in British English for clarity (e.g., 'Adults-only holidays')."
2,6,Single parent holidays,"| Solo holidays                                  | Discover More collection          |  |  |
| **Single parent holidays**                         | Golf holidays                     |  |  |
| Group holidays                                 | Cycling holidays                  |  |  |",ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'Single-parent' requires hyphenation when preceding a noun in British English for clarity (e.g., 'Single-parent holidays')."
3,8,(0) | State one external growth method for a business. | נין |,"| (c) | State <b>one</b> external growth method for a business.                                                    | [1] |               |
| **(0) | State one external growth method for a business.                                                           | נין |               **|
|     |                                                                                                            |     |               |",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This question is a duplicate of the preceding question (c) and uses incorrect numbering, indicating a structural error in the document."
4,14,BARER,|     | END OF **BARER**                                                           |      |               |,ErrorCategory.SPELLING_ERROR,100,The word 'BARER' is a misspelling of 'PAPER' in the context of 'END OF PAPER'.
5,16,however; the use,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however; the use** of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"When 'however' introduces a clause after a semicolon, it should typically be followed by a comma for clarity in British English."
6,16,band marked,For **band marked** questions mark schemes are in two parts; the indicative content and the assessment grid.,ErrorCategory.CONSISTENCY_ERROR,90,The term 'banded mark questions' is used on page 17 and aligns with the heading 'Banded mark schemes'; 'band marked' here is inconsistent.
7,16,in two parts; the indicative content,For band marked questions mark schemes are **in two parts; the indicative content** and the assessment grid.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"A colon should be used to introduce a list or explanation that follows an independent clause, not a semicolon."
8,17,matches,"If the descriptors at the lowest band are satisfied, examiners should move up to the next band and repeat this process for each band until the descriptors most closely **matches** the work.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'descriptors' requires the plural verb 'match', not 'matches'."
9,17,that,"Marking should be positive, rewarding achievement rather **that** penalising failure or omissions.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The correct idiom is 'rather than', not 'rather that'."
10,17,Standardising material,**Standardising material** that has already been awarded a mark will be provided during standardising and this should be used as a reference material when assessing work.,ErrorCategory.STYLISTIC_PREFERENCE,80,"For a formal noun phrase, 'Standardisation material' or 'Standardised material' is generally preferred over 'Standardising material'."
11,17,standardising,Standardising material that has already been awarded a mark will be provided during **standardising** and this should be used as a reference material when assessing work.,ErrorCategory.STYLISTIC_PREFERENCE,80,"In this context, 'standardisation' (the noun) is more appropriate than 'standardising' (the gerund/present participle)."
12,17,is appropriate,Examiners are reminded of the need to revisit the standardising material as they apply the mark scheme in order to confirm that the band and the mark allocated **is appropriate** to the work submitted.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The compound subject 'the band and the mark' is plural and requires the plural verb 'are appropriate'.
13,19,response. Award,"Credit any other valid **response. Award** one mark for a basic description of a disadvantage for one source of finance identified in 3(a), for example: <ul><li>Kyle will have to pay interest on the money borrowed from the bank.</li></ul>",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"Two independent clauses are joined without proper punctuation, creating a run-on sentence. A full stop should separate 'response' and 'Award'."
14,24,filling in as,"For example, if its sandwiches do not have as much **filling in as** previous visits they may switch to a competitor.",ErrorCategory.STYLISTIC_PREFERENCE,80,The phrasing 'filling in as' is awkward; 'as much filling as in previous visits' or 'as much filling as previous visits' would be more natural.
15,24,what loaf,"Since customers are likely to regularly purchase from their local Jenkins Bakery store, they are likely to have a more personal level of service from the staff, such as remembering **what loaf** of bread they usually purchase.",ErrorCategory.STYLISTIC_PREFERENCE,75,"'Which' is generally preferred when referring to a choice from a defined set of options, making 'which loaf' more precise in this context."
16,24,"Google, for","Customers may leave good reviews on TripAdvisor or **Google, for** the business, which will encourage new customers to try its products, increasing sales.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The comma after 'Google' is superfluous and disrupts the flow of the prepositional phrase 'for the business'.
17,24,high quality product,"Customers will trust Jenkins Bakery to always produce a **high quality product**. This means that they will become regular customers and are more likely to purchase other items from its product range, such as buying a cake alongside their regular loaf of bread.",ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'high-quality' should be hyphenated when it precedes the noun it modifies.
18,25,nut free products,"For example, if it produced **nut free products** but cross-contamination in the kitchen meant a customer had an allergic reaction, then it could be costly to the business and reduce profit margins.",ErrorCategory.STYLISTIC_PREFERENCE,85,The compound adjective 'nut-free' should be hyphenated when it precedes the noun it modifies.
