issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,4,(B Corp).,3. | **(B Corp).** | Identify which one of the following statements best describes a benefit corporation | [1] | |,ErrorCategory.STYLISTIC_PREFERENCE,85,The phrase '(B Corp).' is awkwardly placed and punctuated; it should either be integrated into the question or removed for clarity and professional presentation.
1,10,35 000,It now has over **35 000** coffeehouses in over 80 countries and over 1200 coffeehouses in the UK including 51 in Wales.,ErrorCategory.STYLISTIC_PREFERENCE,80,"Numbers over 999 should typically use a comma as a thousands separator in formal British English for readability (e.g., 35,000)."
2,10,1200,It now has over 35 000 coffeehouses in over 80 countries and over **1200** coffeehouses in the UK including 51 in Wales.,ErrorCategory.STYLISTIC_PREFERENCE,80,"Numbers over 999 should typically use a comma as a thousands separator in formal British English for readability (e.g., 1,200)."
3,10,business business,Describe two reasons why a business would wish to become a multinational [4] **business business**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The word 'business' is redundantly repeated at the end of the sentence.
4,15,however;,Marks should be awarded using the full range of marks defined in the mark scheme for the question (**however;** the use of the full mark range may be limited according to the quality of the candidate responses seen).,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,A semicolon is incorrectly used after 'however' within a parenthetical clause; a comma would be appropriate in British English.
5,15,response.*',The inclusion of **'*'Credit any other valid response.*'** (or similar instruction) within mark schemes allows for the possible variation in candidates' responses.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The full stop is incorrectly placed inside the single quotation mark; it should be outside as the quoted phrase is not a complete sentence within itself but an instruction.
6,16,banded mark,The marking of **banded mark** questions should always be positive.,ErrorCategory.STYLISTIC_PREFERENCE,80,'Banded-mark' functions as a compound adjective modifying 'questions' and would typically be hyphenated for clarity in British English.
7,16,matches,"If the descriptors at the lowest band are satisfied, examiners should move up to the next band and repeat this process for each band until the descriptors most closely **matches** the work.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The plural subject 'descriptors' requires the plural verb 'match', not 'matches', for subject-verb agreement."
8,16,that,"Marking should be positive, rewarding achievement rather **that** penalising failure or omissions.",ErrorCategory.SPELLING_ERROR,100,"The correct phrase is 'rather than', not 'rather that'."
9,16,is,Examiners are reminded of the need to revisit the standardising material as they apply the mark scheme in order to confirm that the band and the mark allocated **is** appropriate to the work submitted.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"The compound subject 'the band and the mark' requires the plural verb 'are', not 'is', for subject-verb agreement."
10,16,reward,"Where a candidate provides a response that contains aspects or approaches not included in the indicative content, examiners should use their professional judgement to determine the validity of the response in light of the task and **reward** as directed by the bands.",ErrorCategory.AMBIGUOUS_PHRASING,85,The verb 'reward' is used transitively but lacks a clear object; it should be 'and reward it' or 'and award marks' for improved clarity.
11,18,are used,The public sector consists of government run organisations that exist to provide a product or service to citizens. Money raised in taxes **are used** to run these organisations. Credit any other valid response.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"Subject-verb agreement error: 'Money' is a singular noun, so the verb should be 'is used', not 'are used'."
12,18,state run schools,<ul><li>army</li><li>hospitals/NHS</li><li>police force</li><li>**state run schools**. Credit any other valid response.</li></ul>,ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'state-run' should be hyphenated when preceding the noun 'schools' for clarity in British English (OED, Collins)."
13,19,high speed internet,Reduced operational costs as businesses will not need the office space. The business will need **high speed internet** and connection to hold online meetings/share information.,ErrorCategory.STYLISTIC_PREFERENCE,85,"The compound adjective 'high-speed' should be hyphenated when preceding the noun 'internet' for clarity in British English (OED, Collins)."
14,20,are extended,"A model or system of sustainability, where existing materials are recycled, repaired and reused and so the life cycle of products **are extended**.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,"Subject-verb agreement error: 'the life cycle' is a singular subject, so the verb should be 'is extended', not 'are extended'."
15,20,"therefore, less","Positive impact on greenhouse gases and global warming as not using raw materials **therefore, less**",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"The phrase 'therefore, less' is an incomplete sentence fragment and requires additional words to form a coherent thought."
