issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,1,GCSF,"GCSE Computer Science                                            |
GCSF **The Sciences** (Double)                                       | 22        |",ErrorCategory.FACTUAL_INACCURACY,98,"GCSF is not a recognised qualification type; it should be GCSE, which is consistent with other qualifications listed."
1,2,have decided,Qualifications Wales **have decided** that these qualifications will be introduced in a phased way; WJEC is now developing the qualifications that are to be available for first teaching from September 2025 to meet these requirements.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"'Qualifications Wales' is a singular entity (an organisation), and therefore requires the singular verb 'has decided' for subject-verb agreement."
2,3,nonexamination,"This was particularly prevalent in qualifications where the **nonexamination** assessment is either new or significantly increased.

It must be noted that WJEC cannot change the amount of non-examination assessment or the proportion to be marked by schools, in the new made-for-Wales GCSEs and related qualifications.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as per standard British English usage for compound adjectives.
3,3,wellbeing,"A notable area of concern in consultation responses and discussions with stakeholder groups links to learners undertaking non-examination assessment across a number of subjects, and the potential negative impact this could have on learner **wellbeing**.",ErrorCategory.CONSISTENCY_ERROR,85,"The term 'wellbeing' is used unhyphenated here, but 'well-being' is used on page 4 in reference to Welsh Government guidance. For consistency, 'well-being' (hyphenated) should be used throughout."
4,4,nonexamination,"Some stakeholders felt that **nonexamination** assessment can further disadvantage some learners, for example, those who do not have support or access to adequate resources at home.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as per standard British English usage for compound adjectives.
5,4,maximalise,"However, one stakeholder group had a different view on what impacted equity, requesting that the GCSEs have a range of assessment methods, focusing on competency-based continuous assessment methods, rather than coursework or mini-tests, to **maximalise** equity.",ErrorCategory.SPELLING_ERROR,95,"The correct British English term is 'maximise', not 'maximalise'."
6,4,Qualification Wales,"When we submit our qualifications to **Qualification Wales** for approval, we must stipulate how we have managed the balance of manageability, engagement, reliability and validity.",ErrorCategory.FACTUAL_INACCURACY,99,"The official name of the body is 'Qualifications Wales' (plural), as used consistently elsewhere in the document."
7,5,nonexamination,"Where this is the case, scanning and uploading of **nonexamination** assessment could be time-consuming, particularly when considering the scale of non-examination assessment across the suite of qualifications.",ErrorCategory.SPELLING_ERROR,98,The term 'non-examination' should be hyphenated as per standard British English usage for compound adjectives.
8,7,time spent on or volume of work to be submitted,"A couple of respondents proposed setting limits on the **time spent on or volume of work to be submitted** for the portfolio; however, after consulting further with stakeholders via our Development Advisory Group, we have decided not to proceed with this but to retain the current flexibility.",ErrorCategory.STYLISTIC_PREFERENCE,85,The phrasing is slightly awkward and could be clearer by explicitly linking 'time spent on' and 'volume of work' to the portfolio for improved flow.
9,8,work(s),Respondents noted concerns about the unprepared **work(s)** in the external examination.,ErrorCategory.STYLISTIC_PREFERENCE,75,"In formal writing, it is generally clearer to choose either the singular or plural form, or to rephrase, rather than using the parenthetical '(s)'."
10,8,states,The Approval Criteria **states** that 30% of the qualification must be assessed by external examination which must include questions on unprepared works.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,98,"'Criteria' is a plural noun, so the verb should be 'state' to agree with the plural subject."
11,8,anytime,stipulating that both the performing and composing units could be assessed **anytime** during the course,ErrorCategory.STYLISTIC_PREFERENCE,80,"While 'anytime' is acceptable as an adverb, 'any time' (two words) is generally preferred in formal British English for clarity and traditional usage."
12,9,that the proposed assessment approach is appropriate,"Respondents generally agreed or partially agreed **that the proposed assessment approach is appropriate**, that the unit purposes are appropriate and engaging for learners and meet the qualification purpose and aims, and that the assessment approach is appropriate.",ErrorCategory.STYLISTIC_PREFERENCE,90,"The phrase 'that the proposed assessment approach is appropriate' is repeated unnecessarily, making the sentence clunky and less concise."
13,10,around,Some concerns were raised **around** the number of non-examination assessments.,ErrorCategory.STYLISTIC_PREFERENCE,80,'About' is generally preferred over 'around' when referring to a topic or subject in formal British English.
14,10,this non-examination assessment is 15% of the qualification and is therefore smaller than the fieldwork non-examination assessment at 25%.,"As the Approval Criteria state that one of the non-examination assessments must be marked by the centre and moderated by the WJEC, the Decision Making Exercise will now be marked by centres and moderated by WJEC; **this non-examination assessment is 15% of the qualification and is therefore smaller than the fieldwork non-examination assessment at 25%**.",ErrorCategory.STYLISTIC_PREFERENCE,85,"The sentence is overly long and repetitive, particularly with the repeated use of 'non-examination assessment', which hinders readability and conciseness."
15,10,to widen out,"Consequently, we have removed the reference to exploring fieldwork in learners' locality, **to widen out** the area that learners can explore.",ErrorCategory.STYLISTIC_PREFERENCE,80,'To widen' or 'to broaden' would be more concise and formal than 'to widen out' in this context.
