issue_id,page_number,issue,highlighted_context,error_category,confidence_score,reasoning
0,2,Approved,[Made for Wales GCSE Qualification Approval Criteria](https://qw-website-prod-master.azurewebsites.net/media/t1lhpbwl/made-for-wales-gcse-qualification-approval-criteria.pdf) which set out requirements for any new GCSE qualification **Approved** for first teaching from September 2025 and beyond.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,"The word 'Approved' should be lowercase as it functions as a descriptive verb modifying 'qualification', not as part of a proper noun title."
1,2,contains,[Standard Conditions of Recognition](https://qualifications.wales/media/p54jkkfe/standard-conditions-of-recognition.pdf) which **contains** the rules that all awarding bodies and their qualifications must meet when offering qualifications to learners in Wales.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The plural subject 'Standard Conditions of Recognition' requires the plural verb 'contain' for correct subject-verb agreement.
2,5,**25**% **of qualification**,"Non-examination assessment: 8 hours

**25**% **of qualification** 

**60 marks**",ErrorCategory.CONSISTENCY_ERROR,90,"The bolding of the percentage value is inconsistent with the other units (Unit 1, 2, and 3), where 'X% of qualification' is presented as a single bolded unit (e.g., '**30% of qualification**')."
3,6,subject specific,"Central to this design are the [principles of progression,](https://hwb.gov.wales/curriculum-for-wales/humanities/principles-of-progression/) along with the [statements of](https://hwb.gov.wales/curriculum-for-wales/humanities/statements-of-what-matters/)  [what matters](https://hwb.gov.wales/curriculum-for-wales/humanities/statements-of-what-matters/) and those **subject specific** skills and concepts outlined in the '[Designing](https://hwb.gov.wales/curriculum-for-wales/humanities/designing-your-curriculum/)  [your Curriculum](https://hwb.gov.wales/curriculum-for-wales/humanities/designing-your-curriculum/)' section of the Humanities Area of Learning and Experiences.",ErrorCategory.STYLISTIC_PREFERENCE,80,The compound adjective 'subject-specific' should be hyphenated when modifying 'skills and concepts'.
4,6,", the Guidance","We have also considered where the qualification can generate opportunities for integrating the learning experiences noted in Opportunities for integration of learning experiences on page 38**, the Guidance** for Teaching will include further information on integrating these learning experiences into delivery.",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"This sentence contains a comma splice, joining two independent clauses without a coordinating conjunction."
5,6,and by critical understanding,explore how and why interpretations may differ **and by critical understanding** of a range of interpretations and representations derived from a variety of evidence,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The phrase 'and by critical understanding' is grammatically incomplete and awkward; it should likely be 'and develop a critical understanding' or 'and by critically understanding'.
6,7,is influenced,heighten their awareness of how the future sustainability of our world and climate change **is influenced** by the impact of those actions,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The compound subject 'the future sustainability of our world and climate change' requires a plural verb 'are influenced'.
7,7,subject specific,- supporting the **subject specific** considerations for Business*2F* [3](#page-7-1) by:,ErrorCategory.STYLISTIC_PREFERENCE,80,The compound adjective 'subject-specific' should be hyphenated when modifying 'considerations'.
8,7,decision making,developing skills to empower business problem-solving and **decision making**.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Decision-making' is typically hyphenated when used as a compound noun in British English.
9,8,which supports,"The qualification allows learners to develop a strong foundation of knowledge, skills and understanding **which supports** progression to post-16 study and prepares learners for life, learning and work.",ErrorCategory.STYLISTIC_PREFERENCE,75,"'That' is generally preferred for restrictive clauses (essential information), while 'which' is for non-restrictive clauses (additional information); here, the clause is restrictive."
10,8,specific as possible,Language used should be **specific as possible**.,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,The phrase requires 'as' before 'specific' to form the correct comparative structure 'as specific as possible'.
11,8,up to date,WJEC will inform centres of any amendments and the most **up to date** version of the specification will always be on the website.,ErrorCategory.STYLISTIC_PREFERENCE,85,'Up-to-date' should be hyphenated when used as a compound adjective modifying 'version'.
12,10,public sector. Learners,<li>innovative environment</li><li>the role of the private sector and **public sector. Learners** should be aware of examples of public sector organisations.</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,85,"A full stop should not separate two distinct clauses or phrases within a single bullet point; a semicolon or conjunction would be more appropriate, or it should be split into two bullet points."
13,10,survival. Learners,<li>profit maximisation</li><li>social/community</li><li>**survival. Learners** should be aware of:</li><li>the growing importance of ethical and environmental aims</li><li>how business aims differ for different businesses</li><li>how business aims can change in a competitive and dynamic environment.</li></ul>,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,85,"A full stop should not separate two distinct clauses or phrases within a single bullet point; a semicolon or conjunction would be more appropriate, or it should be split into two bullet points."
14,12,are available,"Learners should know: <ul><li>different business careers and employment opportunities available in:</li><li>private sector and public sector</li><li>different business sectors</li><li>what careers advice and guidance **are available**, such as:</li><li>Careers Wales</li><li>National Careers Service</li><li>UCAS.</li></ul>",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,90,The compound subject 'advice and guidance' functions as a singular concept in this context and should take the singular verb 'is'.
15,13,borders. Learners,"global brands and the free movement of goods and services, labour and capital across international **borders. Learners** should know:</li><li>the opportunities of global business, such as:</li><li>entering new markets</li><li>growth</li><li>increased sales and profits</li><li>the challenges of global business, such as:</li><li>cultural and language differences</li><li>ethical and environmental damage</li><li>international regulations and laws</li><li>supply chain issues</li><li>what is meant by deglobalisation.</li></ul>",ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,95,"There is a missing full stop or appropriate punctuation before 'Learners should know:', which introduces a new clause and set of bullet points, creating a run-on."
