issue_id,page_number,issue,highlighted_context,pass_code,error_category,confidence_score,reasoning
0,8,inspirational-success-story-of-amazons-founder,...odaymagazine.com/2022/07/jeff-bezos-the **inspirational-success-story-of-amazons-founder**/ Learners to discuss how the entreprene...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The highlighted text is part of a URL slug, where hyphens are standard for readability and SEO, and is not a grammatical error in regular text."
1,14,deborah-coughlin,...tion-success-stories-deborah-coughlin/)[**deborah-coughlin**/](https://iuk.ktn-uk.org/casestudy/wome...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The highlighted text 'deborah-coughlin' is a proper noun used in a URL slug and as link text, where hyphens are standard."
2,19,google,...p research information could be done on **google** jam board or an interactive Canva white...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,90,"'Google' is a proper noun and should be capitalized when referring to the company or its product, Jamboard."
3,22,new-lease-of-life-at-merthyr-tydfil-s-newest-re-use-shop,...t-merthyr-tydfil-s-newest-re-use-shop/)[**new-lease-of-life-at-merthyr-tydfil-s-newest-re-use-shop**/](https://www.merthyr.gov.uk/news-and-e...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,95,"The highlighted text is part of a URL slug and link text, where hyphens are standard for readability and SEO, and is not a grammatical error."
4,31,as well as,...ets | consumers from both within the UK **as well as** from a global market. Learners could be...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'as well as' is used correctly as a conjunction in this context and does not require a comma or alternative phrasing.
5,34,currents,...trends and use this to reflect on their **currents** skill set and explore what skills may b...,PassCode.LTC,ErrorCategory.SPELLING_ERROR,100,'Currents' is incorrectly used as an adjective; it should be 'current' to modify 'skill set'.
6,36,as well as,"... all topic areas, both in small groups, **as well as** a class. This not only enhances underst...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'as well as' is used correctly as a conjunction in this context and does not require a comma or alternative phrasing.
7,36,',...group working opportunity when teaching **'**The features of limited and unlimited | ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,100,The HTML entity `&#x27;` is a parsing error and should be replaced with a standard apostrophe.
8,39,exploring,"...t and industry figures. Learners should **exploring** the ONS website, reviewing relevant, up...",PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The verb form 'exploring' is grammatically incorrect after the modal verb 'should'; it should be the base form 'explore'.
9,49,close proximity,...markets where buyers and sellers are in **close proximity** to each other. Certain businesses such ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,"'Close proximity' is a common and grammatically acceptable phrase, and its use here is not an error."
10,51,general public,...e available to others by selling to the **general public** often at the Stock Exchange. They are g...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'general public' is grammatically correct and standard English usage.
11,51,but,... liability. Other people can be employed** but** there is only one owner. | | STEEPLE | ...,PassCode.LTC,ErrorCategory.STYLISTIC_PREFERENCE,80,"Adding a comma before 'but' to separate independent clauses is a stylistic choice, not a mandatory grammatical requirement in this context."
12,52,all of the,...wners of a business are responsible for **all of the** debts of a business. | | Variable Costs...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,100,The phrase 'all of the' is grammatically correct and commonly used in English.
40,24,accessibilitycostsfootfallpersonal,"...siness within a location, including:<br>**accessibilitycostsfootfallpersonal** reasonsproximity/closeness to competito...",PassCode.LTC,ErrorCategory.PARSING_ERROR,95,Multiple distinct items in a list have been merged into a single word due to PDF conversion.
41,24,reasonsproximity,...:<br>accessibilitycostsfootfallpersonal **reasonsproximity**/closeness to competitorssize. | Teacher...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Two distinct items in a list, 'reasons' and 'proximity', have been merged due to PDF conversion."
42,24,competitorssize,...lpersonal reasonsproximity/closeness to **competitorssize**. | Teacher led – teacher to outline the...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Two distinct items in a list, 'competitors' and 'size', have been merged due to PDF conversion."
43,24,carsOnline-only,...esses:<br>Multinational manufacturer of **carsOnline-only** UK wide retail shop selling furnitureA ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Two distinct items in a list, 'cars' and 'Online-only', have been merged due to PDF conversion."
44,24,furnitureA,...Online-only UK wide retail shop selling **furnitureA** local entrepreneur wanting to open a ne...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,The end of one list item ('furniture') and the start of the next ('A local entrepreneur') have been merged due to PDF conversion.
45,24,m-commerceremote,...ogy on business location:<br>e-commerce/**m-commerceremote** working.                               ...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"Two distinct terms in a list, 'm-commerce' and 'remote working', have been merged due to PDF conversion."
46,31,as well as,...re of consumers from both within the UK **as well as** from a global market.                  ...,PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'as well as' is used correctly as a conjunction without requiring a preceding comma in this context.
47,34,as well as,"...l topic areas, both in<br>small groups, **as well as** a class. This not only enhances<br>unde...",PassCode.LTC,ErrorCategory.FALSE_POSITIVE,90,The phrase 'as well as' is used correctly as a conjunction without requiring a preceding comma in this context.
48,34,',...up working<br>opportunity when teaching **'**The features of limited and unlimited<br...,PassCode.LTC,ErrorCategory.PARSING_ERROR,95,"The issue highlights an HTML entity for a single quote, which is a parsing artifact, not a linguistic error."
49,35,currents,...trends and use this to reflect on their **currents** skill set and explore what skills may b...,PassCode.LTC,ErrorCategory.ABSOLUTE_GRAMMATICAL_ERROR,100,The word 'currents' (noun) is incorrectly used as an adjective; it should be 'current' to modify 'skill set'.
